op,pid,latency_ticks,cs_ticks,flags
2,7,28735,10284,0
3,7,39303,20342,0
2,7,49425,30445,0
3,7,18473,0,0
2,7,28718,10267,0
3,7,18455,0,0
2,7,39287,20234,0
3,7,18480,0,0
2,7,38794,20287,0
3,7,18455,0,0
2,7,28718,10267,0
3,7,39178,20217,0
2,7,38668,20217,0
3,7,18455,0,0
2,7,38755,20281,0
3,7,18473,0,0
2,7,38685,20234,0
3,7,18455,0,0
2,7,28718,10267,0
2,8,2448522,942605,0
3,8,18707,0,0
2,8,40195,21231,0
3,8,39279,20268,0
2,8,39424,20467,0
3,8,18455,0,0
2,8,38720,20246,0
3,8,18473,0,0
2,8,28735,10284,0
3,8,39178,20217,0
2,8,28718,10267,0
3,8,39178,20217,0
2,8,39321,20217,0
3,8,18460,0,0
2,8,38763,20275,0
3,8,18473,0,0
2,8,28735,10284,0
3,8,39178,20217,0
2,8,28718,10267,0
3,8,39178,20217,0
2,8,38668,20217,0
3,8,18455,0,0
2,8,38719,20245,0
3,8,39213,20234,0
2,8,28718,10267,0
2,9,2432780,930431,0
3,9,18761,0,0
2,9,30452,11439,0
3,9,18503,0,0
2,9,28859,10382,0
3,9,18455,0,0
3,8,39279,20268,0
2,8,39424,20467,0
3,8,18455,0,0
2,8,38720,20246,0
3,8,18473,0,0
2,8,28735,10284,0
3,8,39178,20217,0
2,8,29352,10267,0
3,8,39183,20220,0
2,8,38778,20281,0
3,8,39213,20234,0
2,8,38720,20246,0
3,8,39213,20234,0
2,8,38720,20246,0
3,8,18473,0,0
2,8,28735,10284,0
3,8,39178,20217,0
2,8,28718,10267,0
3,9,2421454,899721,0
2,9,52095,31796,0
3,9,18692,0,0
2,9,28896,10398,0
3,9,18455,0,0
2,9,28829,10352,0
3,9,18455,0,0
2,9,39509,20526,0
3,9,18455,0,0
2,9,49519,30515,0
3,9,18455,0,0
2,9,38841,20321,0
3,9,18475,0,0
2,9,39428,20314,0
3,9,18460,0,0
2,9,28956,10402,0
3,9,18455,0,0
2,9,38904,20394,0
3,9,39385,20404,0
2,9,38773,20245,0
3,9,18475,0,0
2,9,39568,20564,0
3,9,18455,0,0
2,9,39524,20542,0
3,9,18455,0,0
2,9,49474,30492,0
3,10,2421928,918962,0
2,10,31530,11545,0
3,10,18572,0,0
2,10,29644,10905,0
3,10,18492,0,0
2,10,39132,20371,0
3,10,39282,20272,0
2,10,38881,20238,0
3,10,18496,0,0
2,10,28779,10328,0
3,10,18455,0,0
2,10,39493,20669,0
3,10,18591,0,0
2,10,50445,30756,0
3,10,18530,0,0
2,10,39420,20594,0
3,10,18555,0,0
2,10,28847,10358,0
3,10,39454,20493,0
2,10,28751,10290,0
3,10,39178,20217,0
2,10,39324,20508,0
3,10,18547,0,0
